specialty,year,published_marit_city_benchmark,current_total_rb,navy_current_cash,annual_gap_current
Pediatrics,2027,303974,35000,263965.76,40008.24
Pediatrics,2028,303974,35000,263965.76,40008.24
Pediatrics,2029,303974,35000,269585.36,34388.64
Pediatrics,2030,303974,35000,269585.36,34388.64
Internal medicine,2027,459057,48000,276965.76,182091.24
Internal medicine,2028,459057,48000,276965.76,182091.24
Internal medicine,2029,459057,48000,282585.36,176471.64
Internal medicine,2030,459057,48000,282585.36,176471.64
Family medicine,2027,373038,48000,276965.76,96072.24
Family medicine,2028,373038,48000,276965.76,96072.24
Family medicine,2029,373038,48000,282585.36,90452.64
Family medicine,2030,373038,48000,282585.36,90452.64
