specialty,year,published_marit_city_benchmark,current_total_rb,half_gap_total_rb,navy_current_cash,navy_flat_cash,navy_half_gap_cash,annual_gap_current,annual_gap_flat,annual_gap_half
Pediatrics,2027,303974,35000,55004.120,263965.76,328965.76,283969.880,40008.24,-24991.76,20004.120
Pediatrics,2028,303974,35000,55004.120,263965.76,328965.76,283969.880,40008.24,-24991.76,20004.120
Pediatrics,2029,303974,35000,55004.120,269585.36,334585.36,289589.480,34388.64,-30611.36,14384.520
Pediatrics,2030,303974,35000,55004.120,269585.36,334585.36,289589.480,34388.64,-30611.36,14384.520
Internal medicine,2027,459057,48000,139045.620,276965.76,328965.76,368011.380,182091.24,130091.24,91045.620
Internal medicine,2028,459057,48000,139045.620,276965.76,328965.76,368011.380,182091.24,130091.24,91045.620
Internal medicine,2029,459057,48000,139045.620,282585.36,334585.36,373630.980,176471.64,124471.64,85426.020
Internal medicine,2030,459057,48000,139045.620,282585.36,334585.36,373630.980,176471.64,124471.64,85426.020
Family medicine,2027,373038,48000,96036.120,276965.76,328965.76,325001.880,96072.24,44072.24,48036.120
Family medicine,2028,373038,48000,96036.120,276965.76,328965.76,325001.880,96072.24,44072.24,48036.120
Family medicine,2029,373038,48000,96036.120,282585.36,334585.36,330621.480,90452.64,38452.64,42416.520
Family medicine,2030,373038,48000,96036.120,282585.36,334585.36,330621.480,90452.64,38452.64,42416.520

