month,uber_platform_rides,friend_provided_rides,total_rides,uber_platform_spend,friend_ride_spend,total_spend,coverage
2026-01,2,0,2,31.18,0.00,31.18,complete
2026-02,1,0,1,31.93,0.00,31.93,complete
2026-03,1,1,2,50.69,50.00,100.69,complete
2026-04,7,3,10,192.03,150.00,342.03,complete
2026-05,3,1,4,123.65,50.00,173.65,complete
2026-06,2,0,2,32.78,0.00,32.78,complete
2026-07,3,0,3,98.04,0.00,98.04,complete
2026-08,1,1,2,52.70,50.00,102.70,partial through August 20
TOTAL,20,6,26,613.00,300.00,913.00,through August 20
JAN-JUL COMPLETE,19,6,25,560.30,250.00,810.30,seven complete months
